Time,Fixed-Point-Operation,Edge,Label,Old Bound,New Bound,Occurred Due To,Clause-1,Clause-2
0,0,"('Pittsburgh_Steelers', 'Gary_Saylor')",rostered,"[0.0,1.0]","[1.0,1.0]",rostered_fact,,
0,0,"('Pittsburgh_Steelers', 'Timothy_Morley')",rostered,"[0.0,1.0]","[0.0,0.0]",rostered_fact,,
0,0,"('Pittsburgh_Steelers', 'Bradley_Young')",rostered,"[0.0,1.0]","[0.0,0.0]",rostered_fact,,
0,0,"('Pittsburgh_Steelers', 'Gerald_Ramos')",rostered,"[0.0,1.0]","[0.0,0.0]",rostered_fact,,
0,0,"('Pittsburgh_Steelers', 'Brenda_Brinson')",rostered,"[0.0,1.0]","[0.0,0.0]",rostered_fact,,
0,0,"('Pittsburgh_Steelers', 'Andrew_Rautio')",rostered,"[0.0,1.0]","[0.0,0.0]",rostered_fact,,
0,0,"('Pittsburgh_Steelers', 'Bernardo_James')",rostered,"[0.0,1.0]","[0.0,0.0]",rostered_fact,,
0,0,"('Pittsburgh_Steelers', 'Robert_Armstrong')",rostered,"[0.0,1.0]","[0.0,0.0]",rostered_fact,,
0,0,"('Pittsburgh_Steelers', 'Amanda_Helfrich')",rostered,"[0.0,1.0]","[0.0,0.0]",rostered_fact,,
0,0,"('Pittsburgh_Steelers', 'Judith_Mimnaugh')",rostered,"[0.0,1.0]","[0.0,0.0]",rostered_fact,,
0,0,"('Pittsburgh_Steelers', 'Shawna_Hernandez')",rostered,"[0.0,1.0]","[0.0,0.0]",rostered_fact,,
0,0,"('Pittsburgh_Steelers', 'Dora_Peacock')",rostered,"[0.0,1.0]","[0.0,0.0]",rostered_fact,,
0,0,"('Pittsburgh_Steelers', 'Michael_Milligan')",rostered,"[0.0,1.0]","[0.0,0.0]",rostered_fact,,
0,0,"('Pittsburgh_Steelers', 'Josef_Broberg')",rostered,"[0.0,1.0]","[0.0,0.0]",rostered_fact,,
0,0,"('Pittsburgh_Steelers', 'John_Arrington')",rostered,"[0.0,1.0]","[0.0,0.0]",rostered_fact,,
0,0,"('Pittsburgh_Steelers', 'Karen_Casavez')",rostered,"[0.0,1.0]","[0.0,0.0]",rostered_fact,,
0,0,"('Pittsburgh_Steelers', 'Samantha_Tatum')",rostered,"[0.0,1.0]","[0.0,0.0]",rostered_fact,,
0,0,"('Pittsburgh_Steelers', 'Kristy_Meeks')",rostered,"[0.0,1.0]","[0.0,0.0]",rostered_fact,,
0,0,"('Pittsburgh_Steelers', 'Eunice_Jackson')",rostered,"[0.0,1.0]","[0.0,0.0]",rostered_fact,,
0,0,"('Pittsburgh_Steelers', 'Patricia_Logan')",rostered,"[0.0,1.0]","[0.0,0.0]",rostered_fact,,
0,0,"('Pittsburgh_Steelers', 'Gregoria_Cox')",rostered,"[0.0,1.0]","[1.0,1.0]",rostered_fact,,
0,0,"('Pittsburgh_Steelers', 'Don_Cobb')",rostered,"[0.0,1.0]","[0.0,0.0]",rostered_fact,,
0,0,"('Pittsburgh_Steelers', 'Jutta_Baker')",rostered,"[0.0,1.0]","[0.0,0.0]",rostered_fact,,
0,0,"('Pittsburgh_Steelers', 'John_Shriver')",rostered,"[0.0,1.0]","[0.0,0.0]",rostered_fact,,
0,0,"('Pittsburgh_Steelers', 'Alexandria_Thomas')",rostered,"[0.0,1.0]","[0.0,0.0]",rostered_fact,,
0,0,"('Pittsburgh_Steelers', 'Terry_Her')",rostered,"[0.0,1.0]","[0.0,0.0]",rostered_fact,,
0,0,"('Pittsburgh_Steelers', 'Melanie_Cirrincione')",rostered,"[0.0,1.0]","[0.0,0.0]",rostered_fact,,
0,0,"('Pittsburgh_Steelers', 'Mark_Luttrell')",rostered,"[0.0,1.0]","[0.0,0.0]",rostered_fact,,
0,0,"('Pittsburgh_Steelers', 'Donald_Collins')",rostered,"[0.0,1.0]","[0.0,0.0]",rostered_fact,,
0,0,"('Pittsburgh_Steelers', 'Carolyn_Hamilton')",rostered,"[0.0,1.0]","[0.0,0.0]",rostered_fact,,
0,0,"('Pittsburgh_Steelers', 'Howard_Burns')",rostered,"[0.0,1.0]","[0.0,0.0]",rostered_fact,,
0,0,"('Pittsburgh_Steelers', 'Brian_Avery')",rostered,"[0.0,1.0]","[0.0,0.0]",rostered_fact,,
0,0,"('Pittsburgh_Steelers', 'Kristen_Wickstrom')",rostered,"[0.0,1.0]","[0.0,0.0]",rostered_fact,,
0,0,"('Pittsburgh_Steelers', 'Mildred_Lugo')",rostered,"[0.0,1.0]","[0.0,0.0]",rostered_fact,,
0,0,"('Pittsburgh_Steelers', 'Mitchell_Joaquin')",rostered,"[0.0,1.0]","[0.0,0.0]",rostered_fact,,
0,0,"('Pittsburgh_Steelers', 'Emil_Wyble')",rostered,"[0.0,1.0]","[0.0,0.0]",rostered_fact,,
0,0,"('Pittsburgh_Steelers', 'Adam_Hart')",rostered,"[0.0,1.0]","[0.0,0.0]",rostered_fact,,
0,0,"('Pittsburgh_Steelers', 'Christine_Maung')",rostered,"[0.0,1.0]","[0.0,0.0]",rostered_fact,,
0,0,"('Pittsburgh_Steelers', 'Carolyn_Haire')",rostered,"[0.0,1.0]","[0.0,0.0]",rostered_fact,,
0,0,"('Pittsburgh_Steelers', 'Allen_Carey')",rostered,"[0.0,1.0]","[0.0,0.0]",rostered_fact,,
0,0,"('Pittsburgh_Steelers', 'Amy_Drumm')",rostered,"[0.0,1.0]","[1.0,1.0]",rostered_fact,,
0,0,"('Pittsburgh_Steelers', 'Debra_Endsley')",rostered,"[0.0,1.0]","[1.0,1.0]",rostered_fact,,
0,0,"('Pittsburgh_Steelers', 'Gloria_Zenker')",rostered,"[0.0,1.0]","[0.0,0.0]",rostered_fact,,
0,0,"('Pittsburgh_Steelers', 'Jack_Shaw')",rostered,"[0.0,1.0]","[0.0,0.0]",rostered_fact,,
0,0,"('Pittsburgh_Steelers', 'Bernadette_Mitchell')",rostered,"[0.0,1.0]","[0.0,0.0]",rostered_fact,,
0,0,"('Pittsburgh_Steelers', 'David_Garcia')",rostered,"[0.0,1.0]","[0.0,0.0]",rostered_fact,,
0,0,"('Pittsburgh_Steelers', 'Deborah_Monteros')",rostered,"[0.0,1.0]","[0.0,0.0]",rostered_fact,,
0,0,"('Pittsburgh_Steelers', 'Al_Gonzalez')",rostered,"[0.0,1.0]","[0.0,0.0]",rostered_fact,,
0,0,"('Pittsburgh_Steelers', 'Susan_Lynch')",rostered,"[0.0,1.0]","[0.0,0.0]",rostered_fact,,
0,0,"('Pittsburgh_Steelers', 'Allan_Perez')",rostered,"[0.0,1.0]","[0.0,0.0]",rostered_fact,,
0,0,"('Pittsburgh_Steelers', 'Donald_Green')",rostered,"[0.0,1.0]","[0.0,0.0]",rostered_fact,,
0,0,"('Pittsburgh_Steelers', 'Phillip_Nguyen')",rostered,"[0.0,1.0]","[0.0,0.0]",rostered_fact,,
0,0,"('Pittsburgh_Steelers', 'Judy_Carter')",rostered,"[0.0,1.0]","[0.0,0.0]",rostered_fact,,
0,0,"('Pittsburgh_Steelers', 'Luis_Ross')",rostered,"[0.0,1.0]","[0.0,0.0]",rostered_fact,,
0,0,"('Pittsburgh_Steelers', 'Sharon_Cronin')",rostered,"[0.0,1.0]","[0.0,0.0]",rostered_fact,,
0,0,"('Pittsburgh_Steelers', 'Eugene_Mcbride')",rostered,"[0.0,1.0]","[0.0,0.0]",rostered_fact,,
